Star,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,U-B,B-V,V-R,R-I,e_Vmag,e_U-B,e_B-V,e_V-R,e_R-I,Nobs,GBP,G,GRP
[CS62] E1 41,1,24,41.9,-,44,31,42,6.27,1.084,1.146,0.577,0.517,0.003,0.006,0.002,0.001,0.004,5,6.5255537033081055,5.93287467956543,5.254235744476318
[CS62] E1 35,1,22,2.2,-,44,25,30,9.471,1.679,1.427,0.777,0.722,0.007,0.008,0.005,0.005,0.005,6,9.743892669677734,8.931272506713867,8.081226348876953
[CS62] E1 20,1,23,16.4,-,44,40,18,9.855,0.275,0.736,0.402,0.387,0.008,0.009,0.008,0.004,0.005,5,10.054827690124512,9.661012649536133,9.133469581604004
[CS62] E1 44,1,24,12.3,-,44,27,1,10.885,0.146,0.62,0.359,0.334,0.013,0.014,0.012,0.005,0.014,4,-99.9,-99.9,-99.9
[CS62] E1 49,1,24,57.6,-,44,38,27,11.64,0.019,0.564,0.332,0.327,0.017,0.009,0.013,0.01,0.014,4,11.809273719787598,11.499369621276855,11.046634674072266
[CS62] E1 a,1,25,19.5,-,44,27,2,12.666,0.02,0.615,0.341,0.335,0.01,0.012,0.007,0.005,0.005,4,12.861127853393555,12.540872573852539,12.065360069274902
[CS62] E1 h,1,24,40.0,-,44,33,55,13.828,0.235,0.722,0.375,0.373,0.01,0.01,0.011,0.011,0.014,4,14.050606727600098,13.685699462890625,13.169958114624023
[CS62] E1 i,1,24,48.1,-,44,38,31,13.759,0.614,0.916,0.514,0.446,0.008,0.017,0.005,0.007,0.013,4,14.019360542297363,13.522989273071289,12.887176513671875
[CS62] E1 p,1,24,4.6,-,44,23,42,14.778,0.383,0.799,0.475,0.461,0.009,0.017,0.006,0.006,0.012,4,14.991888999938965,14.5486421585083,13.951996803283691
[CS62] E2 2,4,3,44.9,-,44,43,59,7.638,0.115,0.177,0.087,0.089,0.003,0.002,0.003,0.003,0.003,12,7.70908784866333,7.6066083908081055,7.4743475914001465
[CS62] E2 36,4,4,47.6,-,44,40,7,8.032,1.952,1.608,0.923,0.992,0.022,0.015,0.012,0.004,0.007,4,8.307403564453125,7.25531005859375,6.2769646644592285
[CS62] E2 4,4,2,16.3,-,44,39,49,8.19,0.157,0.127,0.061,0.067,0.005,0.005,0.002,0.003,0.003,9,8.24776554107666,8.165043830871582,8.0586519241333
[CS62] E2 18,4,3,45.4,-,44,28,50,8.478,0.209,0.727,0.409,0.392,0.005,0.008,0.003,0.003,0.006,10,-99.9,-99.9,-99.9
[CS62] E2 34,4,3,4.2,-,44,35,31,8.771,0.834,1.007,0.543,0.488,0.007,0.004,0.005,0.003,0.003,9,-99.9,-99.9,-99.9
[CS62] E2 74,4,8,19.4,-,41,51,41,9.337,1.661,1.405,0.748,0.656,0.009,0.009,0.003,0.001,0.002,7,9.61083984375,8.844554901123047,8.033340454101562
[CS62] E2 20,4,3,44.9,-,44,27,31,9.502,0.087,0.587,0.328,0.313,0.004,0.005,0.003,0.004,0.004,9,-99.9,-99.9,-99.9
[CS62] E2 b,4,3,43.8,-,44,47,0,11.577,0.023,0.529,0.306,0.297,0.016,0.006,0.006,0.007,0.003,3,nan,12.828965187072754,nan
[CS62] E2 l,4,3,21.6,-,44,45,19,12.98,0.066,0.627,0.353,0.358,0.004,0.018,0.003,0.008,0.005,3,13.174220085144043,12.878920555114746,12.347784996032715
[CS62] E2 m,4,2,40.8,-,44,45,9,13.097,0.485,0.806,0.439,0.384,0.01,0.008,0.003,0.003,0.007,5,13.329035758972168,12.911232948303223,12.357054710388184
[CS62] E2 o,4,2,31.8,-,44,47,9,14.09,0.038,0.57,0.312,0.326,0.008,0.015,0.008,0.008,0.01,5,14.26523208618164,13.967806816101074,13.518213272094727
[CS62] E2 s,4,2,36.5,-,44,47,59,14.596,0.324,0.727,0.372,0.341,0.007,0.01,0.007,0.008,0.005,4,14.8261079788208,14.46168041229248,13.954625129699707
[CS62] E2 t,4,2,49.4,-,44,45,29,15.171,-0.013,0.634,0.349,0.355,0.009,0.005,0.01,0.002,0.002,3,15.363480567932129,15.042147636413574,14.559880256652832
[CS62] E2 I,4,2,44.3,-,44,47,39,15.751,0.602,0.887,0.512,0.446,0.022,0.029,0.02,0.02,0.022,3,15.99120807647705,15.520528793334961,14.906846046447754
